zipcode,average_price,average_price_per_sqft,average_days_on_market,total_listings,city,state
77020,330246.16,193.12,75.12,112,Houston,TX
77357,336355.7,162.63,47.33,445,New caney,TX
77046,539666.67,270.95,50.17,6,Houston,TX
77087,270589.24,161.4,72.69,29,Houston,TX
77484,591518.19,244.53,62.2,228,Waller,TX
77447,437165.13,185.86,50.61,528,Hockley,TX
77573,482878.31,185.3,39.25,483,League City,TX
77072,213617.5,140.62,56.36,137,Houston,TX
77338,331909.25,155.09,56.0,183,Humble,TX
77532,352452.92,166.37,57.4,331,Crosby,TX
77386,612932.21,192.62,46.02,297,Spring,TX
77506,260965.68,159.94,67.79,47,Pasadena,TX
77380,919251.24,271.87,56.25,71,Spring,TX
77045,304049.42,174.18,54.44,48,Houston,TX
77505,373181.86,159.87,30.73,37,Pasadena,TX
77469,465775.64,179.01,45.85,464,Rosenberg,TX
77028,293583.29,178.05,70.15,80,Houston,TX
77055,763124.83,277.92,57.21,193,Houston,TX
77346,408669.67,164.53,51.21,397,Humble,TX
77389,863997.5,259.27,57.2,149,Spring,TX
77056,1119296.6,339.71,75.3,182,Houston,TX
77075,333402.75,167.23,75.51,53,Houston,TX
77380,919251.24,271.87,56.25,71,The Woodlands,TX
77066,351317.59,151.62,65.62,79,Houston,TX
77584,450197.57,174.57,40.19,174,Pearland,TX
77071,276879.13,131.63,82.43,54,Houston,TX
77049,291739.07,150.01,55.55,83,Houston,TX
77090,337506.78,145.58,52.67,89,Houston,TX
77494,614448.0,199.03,33.46,405,Katy,TX
77385,403841.78,170.25,44.35,298,Shenandoah,TX
77478,1133132.87,256.85,64.06,52,Sugar Land,TX
77076,309631.24,199.57,72.93,46,Houston,TX
77389,863997.5,259.27,57.2,149,The Woodlands,TX
77035,287530.24,163.73,57.02,96,Houston,TX
77449,322255.38,160.33,48.98,251,Katy,TX
77407,488648.59,188.2,42.98,260,Richmond,TX
77032,327126.3,174.91,79.43,30,Magnolia,TX
77339,425083.15,159.55,41.92,126,Humble,TX
77044,414736.1,161.39,51.67,230,Houston,TX
77385,403841.78,170.25,44.35,298,The Woodlands,TX
77082,444779.99,178.14,51.01,135,Houston,TX
77441,605622.43,202.22,24.19,21,Fulshear,TX
77074,244062.73,153.83,54.48,52,Houston,TX
77064,347149.86,157.79,46.6,43,Houston,TX
77043,450444.26,207.53,51.05,77,Houston,TX
77388,360391.01,143.66,45.2,122,Spring,TX
77038,258356.17,141.38,53.67,30,Houston,TX
77401,1338937.73,360.35,48.89,45,Bellaire,TX
77539,359494.51,161.12,57.37,126,Dickinson,TX
77377,539991.95,208.64,49.96,470,Tomball,TX
77382,1115893.76,240.42,44.95,82,The Woodlands,TX
77530,340409.87,179.83,76.89,45,Channelview,TX
77032,327126.3,174.91,79.43,30,Hou,TX
77007,802260.77,310.86,55.92,223,Houston,TX
77450,455624.69,171.38,45.79,121,Katy,TX
77054,180175.96,161.92,60.69,110,Houston,TX
77016,257408.51,163.61,53.53,158,Houston,TX
77026,345721.49,205.71,99.31,117,Houston,TX
77346,408669.67,164.53,51.21,397,Atascocita,TX
77354,454530.4,182.72,53.87,805,Magnolia,TX
77429,577569.9,186.44,50.78,218,Cypress,TX
77099,231245.3,135.68,118.91,64,Houston,TX
77073,259978.28,142.14,50.11,108,Houston,TX
77547,238543.56,148.36,64.25,16,Galena Park,TX
77459,559716.59,188.46,51.6,596,Missouri city,TX
77059,584597.44,176.75,46.31,39,Houston,TX
77406,621365.9,204.9,40.7,516,Richmond,TX
77042,642506.19,194.74,52.69,124,Houston,TX
77336,401014.55,193.54,62.37,124,Houston,TX
77014,278016.33,143.41,62.75,52,Houston,TX
77096,555228.74,214.88,52.96,89,Houston,TX
77061,321515.9,161.06,56.03,30,Houston,TX
78552,275000.0,171.34,15.0,1,Harlingen,TX
77336,401014.55,193.54,62.37,124,Huffman,TX
77336,401014.55,193.54,62.37,124,Humble,TX
77041,387165.08,170.14,29.16,51,Houston,TX
77080,468031.6,249.98,56.18,169,Houston,TX
77433,563236.74,192.76,41.64,820,Houston,TX
77433,563236.74,192.76,41.64,820,Hockley,TX
